model_id,repository,revision,data_sources,excluded_source_audit,evidence_paths,evidence_sha256,license_id,license_uri,license_scope,source_origin,attribution,projection_semantics,conflict_semantics,lowercase,policy_version,source_rows,accepted_rows,rejected_rows,rejection_counts,source_audit,cross_source_conflict_assignments,cross_source_conflicting_surfaces,intrinsic_ambiguous_surfaces,output_groups,output_forms,output_sha256
itl-default,https://github.com/unimorph/itl,251a11eb5fdcd44d01e498209632c903d2ce3d3e,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""itl"",""schema"":""lemma-form-features"",""sha256"":""c254fb236cf925187983584419091f1a7d6d0755a087034053bddcc9b6f5cc69""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""itl.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:f6d0cf8c72fdeb44ea11b8db9bc3c25dff5ebf6135c4d082a65f6e2f1777f570,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: itl,Not stated in pinned repository evidence,"UniMorph; Karina Sheifer, Sofya Ganieva, Matvey Plugaryov",Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,2701,2697,4,form-unicode-whitespace=1;lemma-unicode-whitespace=3,"[{""accepted_rows"":2697,""added_changed_pairs"":2030,""added_distinct_surfaces"":3659,""added_groups"":1633,""added_output_forms"":3663,""added_source_pairs"":2693,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":1,""key"":""primary"",""path"":""itl"",""rejected_rows"":4,""rejection_counts"":{""form-unicode-whitespace"":1,""lemma-unicode-whitespace"":3},""source_rows"":2701}]",0,0,1,1633,3663,4664dc2087cf79102555fecdf978c6a2b7e830192f4e7c01e4f7642d167e8175
izh-default,https://github.com/unimorph/izh,be351d32224a63c6611ffda5034d31982fe49814,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""izh"",""schema"":""lemma-form-features"",""sha256"":""b0d669893b477a4bb468f6da31fc7f30c19e574a98c851380f2e90e0e4c93c03""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""izh.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:4b0967299674d60a8f5d76e0bf78be86d219adab69ec44a3e0e5971637eed006,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: izh,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,1151,1099,52,blank-row=52,"[{""accepted_rows"":1099,""added_changed_pairs"":976,""added_distinct_surfaces"":1026,""added_groups"":50,""added_output_forms"":1026,""added_source_pairs"":1026,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""izh"",""rejected_rows"":52,""rejection_counts"":{""blank-row"":52},""source_rows"":1151}]",0,0,0,50,1026,294754b0e212cd5045fcced35de8e0016a77cb46732d285e2babef0d1e3c5d84
ja-jp-default,https://github.com/unimorph/jpn,ef6d7bf780d177d4b0802568cff45a76056396e5,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""jpn"",""schema"":""lemma-form-features"",""sha256"":""6ba4589cd43846c8afab5bdf5f4c498e03e32849f95c3e5c9840be2975d4b888""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:25bc71f59f9bbeb00b5dd907c5351a262d1534572078e48189c8322bb3f93f9f,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Selected repository data files at pinned revision: jpn,Not stated in pinned repository evidence,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,12687,12687,0,,"[{""accepted_rows"":12687,""added_changed_pairs"":11485,""added_distinct_surfaces"":10848,""added_groups"":107,""added_output_forms"":11592,""added_source_pairs"":11592,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":594,""key"":""primary"",""path"":""jpn"",""rejected_rows"":0,""rejection_counts"":{},""source_rows"":12687}]",0,0,594,107,11592,852e1431af196108ac5c79a46e8aa11caead2931dd0960fc4b653cde08fbc161
kbd-default,https://github.com/unimorph/kbd,ee843e1110be705a121495bd4656bf1635b2c4d2,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kbd"",""schema"":""lemma-form-features"",""sha256"":""eeca11e3218db22444fcc7ed886c229c4b8f59d5bfbf10a5d776ef009da65593""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:370cda13be5be4c7b0ab5d5f73bf174ee3b8f8534a62022a11cdda799360cfb4,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: kbd,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,3354,3080,274,blank-row=262;lemma-unicode-whitespace=12,"[{""accepted_rows"":3080,""added_changed_pairs"":2805,""added_distinct_surfaces"":3054,""added_groups"":249,""added_output_forms"":3054,""added_source_pairs"":2962,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""kbd"",""rejected_rows"":274,""rejection_counts"":{""blank-row"":262,""lemma-unicode-whitespace"":12},""source_rows"":3354}]",0,0,0,249,3054,36208c790afe93152677ba6a4cabb3adfc420b521857ea462d81933e1f38cdb4
kjh-default,https://github.com/unimorph/kjh,fbef46743e079bb7ff0138b2497ebf242aa3c4cb,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kjh"",""schema"":""lemma-form-features"",""sha256"":""c3da9ee8c891f6d744dc772fed11a5554439183437e01b3edc1d8991f5fc60b4""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:bca1041a1afa7212474583a4ca5a43ffdafba3a875b002febec8e6e5acd6c6fa,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: kjh,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,1277,1184,93,blank-row=77;lemma-unicode-whitespace=16,"[{""accepted_rows"":1184,""added_changed_pairs"":1098,""added_distinct_surfaces"":1172,""added_groups"":74,""added_output_forms"":1172,""added_source_pairs"":1172,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""kjh"",""rejected_rows"":93,""rejection_counts"":{""blank-row"":77,""lemma-unicode-whitespace"":16},""source_rows"":1277}]",0,0,0,74,1172,210b01be8a529b3bd8611f82d1050dc9702a41784226c6eab31ceebb77e652e2
kk-kz-default,https://github.com/unimorph/kaz,91885d96011368d91397033f4a8f8b0f9c2b60a0,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kaz"",""schema"":""lemma-form-features"",""sha256"":""2474e66a4a112528c6b2cbeed498a75c87c4de5f36da276143e8fa90aa5a7488""},{""exceptions"":""none"",""key"":""auxiliary-01"",""local_name"":""data-01"",""path"":""kaz.noun.tsv"",""schema"":""lemma-form-features"",""sha256"":""6ba352297a03423fdd21b3a1875d230c0f3c4153d5e33d1e5dcd37980efc0579""},{""exceptions"":""none"",""key"":""auxiliary-02"",""local_name"":""data-02"",""path"":""kaz.sm"",""schema"":""lemma-form-features"",""sha256"":""af873ae1660456bcdf98846e3f82c47d3080a4412c15f5f48e40a8c38366b3b4""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""kaz.args"",""reason"":""duplicate-args""},{""detail"":""Derivational data is outside the inflectional stem-form model contract."",""path"":""kaz.derivations"",""reason"":""derivation""}]",README.md:evidence-00-README.md,evidence-00-README.md:0bbe23c3ab3997b39804d8186337669779a05ad8136565c32383a2564cb1e99b,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Selected repository data files at pinned revision: kaz, kaz.noun.tsv, kaz.sm",Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,40668,37098,3570,blank-row=28;form-unicode-whitespace=1608;lemma-unicode-whitespace=1934,"[{""accepted_rows"":357,""added_changed_pairs"":331,""added_distinct_surfaces"":357,""added_groups"":26,""added_output_forms"":357,""added_source_pairs"":357,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""kaz"",""rejected_rows"":28,""rejection_counts"":{""blank-row"":28},""source_rows"":385},{""accepted_rows"":28333,""added_changed_pairs"":26458,""added_distinct_surfaces"":28065,""added_groups"":1624,""added_output_forms"":28082,""added_source_pairs"":28082,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":17,""key"":""auxiliary-01"",""path"":""kaz.noun.tsv"",""rejected_rows"":14,""rejection_counts"":{""lemma-unicode-whitespace"":14},""source_rows"":28347},{""accepted_rows"":8408,""added_changed_pairs"":6736,""added_distinct_surfaces"":6801,""added_groups"":94,""added_output_forms"":6830,""added_source_pairs"":6736,""cross_source_conflict_assignments"":7,""cross_source_conflicting_surfaces"":7,""intrinsic_ambiguous_surfaces"":22,""key"":""auxiliary-02"",""path"":""kaz.sm"",""rejected_rows"":3528,""rejection_counts"":{""form-unicode-whitespace"":1608,""lemma-unicode-whitespace"":1920},""source_rows"":11936}]",7,7,39,1744,35269,73216ba98bc3e3c240d626fc47f4dc3ff95148ba086c8a9e8d89bd6cfbdc648b
kl-gl-default,https://github.com/unimorph/kal,c1532eb12ca3f13ec351fb541f839defb190aa3a,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kal"",""schema"":""lemma-form-features"",""sha256"":""5a7ce83bf3349dc7e881f91a7a778c9449337658acae57112e220ee77349f110""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""kal.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:d0fd24698d586b2a446b2ddc4a2a04319431d745bcf9f686b7e348fe16ef2246,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: kal,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,393,368,25,blank-row=25,"[{""accepted_rows"":368,""added_changed_pairs"":298,""added_distinct_surfaces"":321,""added_groups"":23,""added_output_forms"":321,""added_source_pairs"":321,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""kal"",""rejected_rows"":25,""rejection_counts"":{""blank-row"":25},""source_rows"":393}]",0,0,0,23,321,19212cb272cf695b77a6e90cb5c6394689cf7ea738830cab29b4ea629865d782
klr-default,https://github.com/unimorph/klr,e9c1cd9e6def47a33759d2f4331dd886bacd5964,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""klr"",""schema"":""lemma-form-features"",""sha256"":""e14f454911ebcdeb94b621658ac7025937796389196795472a060b9a76a67007""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:3b14f88901a387f864b0dec901f3d0af818d82a3b3aa80768f1305e2b5056cb6,LGPLLR,https://spdx.org/licenses/LGPLLR.html,Selected repository data files at pinned revision: klr,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,156097,156097,0,,"[{""accepted_rows"":156097,""added_changed_pairs"":59046,""added_distinct_surfaces"":54602,""added_groups"":591,""added_output_forms"":59637,""added_source_pairs"":59104,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":4783,""key"":""primary"",""path"":""klr"",""rejected_rows"":0,""rejection_counts"":{},""source_rows"":156097}]",0,0,4783,591,59637,dba18e7da6b469e0e7d3c0a4b49280a88bb1845c8466f1b6db994c9747a2eb2d
kn-in-default,https://github.com/unimorph/kan,dc17627bc86d650a885217f84faa3c90179e71fb,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kan"",""schema"":""lemma-form-features"",""sha256"":""9ed7830f7f49f7afd2d9843b52a0ba87f2cbdc7360cbffab4b6ab5bbab56987b""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:b88e8c68ae93ed8af93f231b3519b683a120d2511eea37983d85b93c3317ce2e,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: kan,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,6570,6402,168,blank-row=168,"[{""accepted_rows"":6402,""added_changed_pairs"":4008,""added_distinct_surfaces"":3802,""added_groups"":159,""added_output_forms"":4167,""added_source_pairs"":4068,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":14,""key"":""primary"",""path"":""kan"",""rejected_rows"":168,""rejection_counts"":{""blank-row"":168},""source_rows"":6570}]",0,0,14,159,4167,aba11fd379a9d89366d045dc87dcf1e2a1b3d5b1e1425ada894caf54517be265
kod-default,https://github.com/unimorph/kod,da840ac504da546c7bd84bf330314fe7e481c57d,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kod"",""schema"":""lemma-form-features"",""sha256"":""cba29eb89117afa8486e1f88117564fd1956861717ad981768cae8cc4bbe4810""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""kod.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:05f0a9dc18a8c3332f9624dcea46806a0588e6e3d84bc01f223107a6e15e2483,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: kod,Not stated in pinned repository evidence,"UniMorph; Yustinus Ghanggo Ate, Garrett Nicolai",Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,462,462,0,,"[{""accepted_rows"":462,""added_changed_pairs"":459,""added_distinct_surfaces"":524,""added_groups"":65,""added_output_forms"":524,""added_source_pairs"":459,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""kod"",""rejected_rows"":0,""rejection_counts"":{},""source_rows"":462}]",0,0,0,65,524,38c0562b78e339601d44d91cb4cb510039495710fe162d4797df2b973dcc0196
kon-default,https://github.com/unimorph/kon,4a89718138a97673750689e2e0dfca4376d2a385,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kon"",""schema"":""lemma-form-features"",""sha256"":""be87a642a8666adb82a4ef9b9b953be9cbf1ba5fa2357866a3b48ab6707b3b62""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:823a70dfbd357a84ffb7c2bd4591abdb08cc03862105295ad09c831a991d630d,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: kon,Not stated in pinned repository evidence,UniMorph; Jennifer White,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,828,386,442,form-unicode-whitespace=386;lemma-unicode-whitespace=56,"[{""accepted_rows"":386,""added_changed_pairs"":372,""added_distinct_surfaces"":557,""added_groups"":186,""added_output_forms"":558,""added_source_pairs"":372,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""kon"",""rejected_rows"":442,""rejection_counts"":{""form-unicode-whitespace"":386,""lemma-unicode-whitespace"":56},""source_rows"":828}]",0,0,0,186,558,08f082c093e50f6cc95c9e80fe08a0b2f6e249894159eb1a503d557b4eadc645
krl-default,https://github.com/unimorph/krl,d72ba9566b70640b415a2cecc95595fe239e17d3,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""krl"",""schema"":""lemma-form-features"",""sha256"":""44f7d33c6d68e09d45d0c7e6a711beea43be15bff2bca6a45ab575783db8930d""}]","[{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-dyorzha"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-kestenga"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-knyazhaya"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-kontokki"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-myandyselga"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-new-written-karelian"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-new-written-tver"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-oulanga"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-padany"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-panozero"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-poduzhemye"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-porosozero"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-reboly"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-rugozero"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-tikhtozero"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-tikhvin"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-tolmachi"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-tunguda"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-uhta"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-valdai"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-vesyegonsk"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-voknavolok"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-vychetaibola"",""reason"":""karelian-dialect""},{""detail"":""Karelian dialect files are separate CC-BY-4.0 dialect products and are reserved for possible future models."",""path"":""krl-yushkozero"",""reason"":""karelian-dialect""}]",README.md:evidence-00-README.md,evidence-00-README.md:d8f806a8f0d483532eef7dd32b935496373a29c16c3dd4244ec0854676b732a8,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: krl,Not stated in pinned repository evidence,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,706,682,24,blank-row=24,"[{""accepted_rows"":682,""added_changed_pairs"":546,""added_distinct_surfaces"":566,""added_groups"":20,""added_output_forms"":566,""added_source_pairs"":566,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""krl"",""rejected_rows"":24,""rejection_counts"":{""blank-row"":24},""source_rows"":706}]",0,0,0,20,566,8f99c9c57ba8bb642be3c033a973d37e6b1064be186f0b9c1f43a900ad1a1706
ky-kg-default,https://github.com/unimorph/kir,3eba9b72cc8222bf964a06842e4ae31c45ce21bf,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""kir"",""schema"":""lemma-form-features"",""sha256"":""05ab494323aa83a3b27be2264ea450a28957bf48c32804b743c77ccc6a066e73""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""kir.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:334f5a1904d1db9b0c835a2ccba7cb4046578fec087da4dd4afcd55921f7f4be,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: kir,"Aytnatova, Alima. (2016). Kyrgyz language: 100 Kyrgyz verbs fully conjugated in all tenses. CreateSpace Independent Publishing Platform. Middletown, DE.",UniMorph; Eleanor Chodroff,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,5544,3066,2478,form-unicode-whitespace=1022;lemma-unicode-whitespace=1456,"[{""accepted_rows"":3066,""added_changed_pairs"":2925,""added_distinct_surfaces"":2997,""added_groups"":72,""added_output_forms"":2997,""added_source_pairs"":2925,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""kir"",""rejected_rows"":2478,""rejection_counts"":{""form-unicode-whitespace"":1022,""lemma-unicode-whitespace"":1456},""source_rows"":5544}]",0,0,0,72,2997,3b7d57494e647317afd9075559f7727c38d9d98041f968e6f0237c649b63ebed
la-default,https://github.com/unimorph/lat,050924c9f013e6aba4d7c87be243a1d79b6c5b10,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""lat"",""schema"":""lemma-form-features"",""sha256"":""7aed5a2fd17c29474e85e315d42654d1794a3d3efc956b387714ca601a608a2b""}]","[{""detail"":""Derivational data is outside the inflectional stem-form model contract."",""path"":""lat.derivations"",""reason"":""derivation""},{""detail"":""Latin segmentation data was excluded because roughly one third of new pairs have cross-source lemma conflicts."",""path"":""lat.segmentations"",""reason"":""latin-segmentation""}]",README.md:evidence-00-README.md,evidence-00-README.md:dbf129ea10a43a0d3cb9a364d3c9e8d320a55df68f4fff33e5c057dc5554264c,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: lat,Not stated in pinned repository evidence,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,976489,971746,4743,form-unicode-whitespace=1106;lemma-unicode-whitespace=3637,"[{""accepted_rows"":971746,""added_changed_pairs"":454561,""added_distinct_surfaces"":486375,""added_groups"":46170,""added_output_forms"":500731,""added_source_pairs"":500718,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":13780,""key"":""primary"",""path"":""lat"",""rejected_rows"":4743,""rejection_counts"":{""form-unicode-whitespace"":1106,""lemma-unicode-whitespace"":3637},""source_rows"":976489}]",0,0,13780,46170,500731,1ecc8889f0cf91f5005f8c1434dd2d12b03c34ec11f16336896544ef676709d1
lg-ug-default,https://github.com/unimorph/lug,5bb5dc567e071e2e3111d5eb29bf438244a9b0e1,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""lug"",""schema"":""lemma-form-features"",""sha256"":""9d9c9d8c397cbb67882bccc0680b4507ee3948db04ca5a10f70c19f842e7f9eb""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:b277989db1af56d31176a77d7934e5f129c00fea423444764bebea97a5ce627c,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: lug,Not stated in pinned repository evidence,UniMorph; Edoardo Ponti,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,4895,4785,110,lemma-unicode-whitespace=110,"[{""accepted_rows"":4785,""added_changed_pairs"":4659,""added_distinct_surfaces"":4673,""added_groups"":87,""added_output_forms"":4746,""added_source_pairs"":4746,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":73,""key"":""primary"",""path"":""lug"",""rejected_rows"":110,""rejection_counts"":{""lemma-unicode-whitespace"":110},""source_rows"":4895}]",0,0,73,87,4746,bdf75bc28bc51c41d1b2d4eab15988a165824a0859b737c9eb25e5f03016108f
